Name,N,E,Z,Code
p1,63446.538,644795.155,746.987,
p2,62892.478,644534.716,630.326,12
p3,62887.546,644541.387,630.272,12
p4,62884.886,644549.607,630.285,12
p5,62880.920,644557.022,630.220,12
p6,62876.232,644564.216,630.324,12
p7,62872.939,644562.558,630.348,12
p8,62877.512,644555.509,630.259,12
p9,62875.116,644548.700,630.394,12
p10,62871.059,644540.197,630.259,12
p11,62871.710,644530.527,630.018,12
p12,62872.374,644524.116,630.204,12
p13,62867.781,644519.487,630.502,12
p14,62869.273,644514.547,630.168,1
p15,62872.920,644508.283,630.282,1
p16,62876.040,644504.855,630.258,1
p17,62882.221,644496.347,630.239,1
p18,62885.035,644499.137,630.296,1
p19,62882.678,644503.472,630.433,1
p20,62880.871,644505.851,630.224,1
p21,62877.696,644510.013,630.350,1
p22,62866.273,644511.183,630.281,1
p23,62862.899,644511.629,630.152,1
p24,62858.798,644514.206,630.444,12
p25,62858.134,644514.064,630.416,12
p26,62852.419,644513.902,630.278,12
p27,62851.259,644517.977,630.430,12
p28,62848.475,644517.371,630.719,12
p29,62848.942,644514.128,630.620,12
p30,62850.359,644508.145,630.540,12
p31,62851.044,644503.308,630.791,12
p32,62854.608,644496.360,630.775,12
p33,62855.899,644489.143,631.209,12
p34,62857.135,644482.696,630.483,12
p35,62862.195,644474.524,630.767,12
p36,62864.514,644478.899,630.328,1
p37,62860.632,644484.970,630.255,1
p38,62860.366,644491.292,630.187,1
p39,62863.214,644495.608,630.453,1
p40,62861.202,644500.706,630.273,1
p41,62857.817,644503.860,630.308,1
p42,62856.603,644507.881,630.348,1
p43,62863.685,644505.369,630.215,1
p44,62865.153,644502.190,630.272,1
p45,62866.817,644499.174,630.418,1
p46,62869.988,644490.093,630.471,1
p47,62871.630,644486.240,630.242,1
p48,62876.420,644490.391,630.271,1
p49,62874.658,644492.590,630.356,1
p50,62872.308,644496.124,630.315,1
p51,62870.074,644504.236,630.293,1
p52,62886.596,644502.422,630.531,1
p53,62884.073,644504.494,630.343,1
p54,62881.208,644509.566,630.278,1
p55,62877.079,644515.426,630.224,1
p56,62876.861,644523.693,630.310,1
p57,62877.038,644529.422,630.172,1
p58,62876.790,644533.706,630.178,1
p59,62877.223,644536.707,630.125,1
p60,62877.344,644539.383,630.117,1
p61,62878.899,644547.483,630.434,1
p62,62880.122,644551.428,630.350,1
p63,62882.617,644545.704,630.033,1
p64,62883.940,644539.362,630.189,1
p65,62887.185,644534.165,630.096,1
p66,62883.114,644528.945,630.467,1
p67,62881.217,644520.336,630.421,1
p68,62884.459,644522.530,630.220,1
p69,62892.110,644528.514,630.263,1
p70,62895.752,644528.976,630.180,1
p71,62900.733,644523.829,630.123,1
p72,62896.476,644522.268,630.133,1
p73,62890.427,644519.185,629.993,1
p74,62885.036,644514.903,630.125,1
p75,62883.827,644505.914,630.470,1
p76,62888.909,644508.827,630.432,1
p77,62894.205,644511.614,630.199,1
p78,62896.418,644513.318,629.914,1
p79,62896.412,644513.358,629.932,1
p80,62905.084,644518.445,629.957,1
p81,64039.902,644129.623,410.070,12
p82,64038.789,644120.345,410.888,12
p83,64040.937,644114.810,410.485,12
p84,64040.827,644110.367,410.512,12
p85,64045.139,644108.981,410.041,12
p86,64050.705,644101.068,410.376,12
p87,64052.497,644103.309,410.438,12
p88,64053.027,644107.790,410.191,12
p89,64050.657,644110.499,410.442,12
p90,64050.259,644115.829,410.172,12
p91,64051.855,644120.018,409.949,12
p92,64055.702,644122.788,409.870,12
p93,64062.902,644120.165,410.066,12
p94,64066.454,644118.348,410.193,12
p95,64067.392,644119.932,410.072,1
p96,64068.407,644127.587,410.051,1
p97,64065.323,644130.764,409.952,1
p98,64063.808,644127.342,410.012,1
p99,64057.604,644125.786,409.665,1
p100,64057.137,644130.552,409.555,1
p101,64054.415,644133.897,409.666,1
p102,64050.781,644134.061,409.656,1
p103,64047.743,644131.789,409.751,1
p104,64045.692,644125.639,409.930,1
p105,64044.930,644120.362,410.330,1
p106,64044.487,644116.410,410.183,1
p107,64047.248,644113.928,410.142,1
p108,64048.874,644116.582,410.027,1
p109,64049.459,644120.472,409.909,1
p110,64052.675,644128.634,409.563,1
p111,64014.967,644216.973,424.926,8
p112,64014.348,644220.439,424.947,8
p113,64011.728,644231.576,424.077,8
p114,64011.942,644235.312,424.673,8
p115,64010.676,644235.839,424.275,8
p116,64011.212,644237.881,424.657,8
p117,64009.923,644239.643,424.209,8
p118,64007.952,644243.658,424.190,8
p119,64004.115,644244.447,424.398,8
p120,64004.347,644242.836,424.316,8
p121,64006.805,644247.629,424.419,8
p122,64010.842,644244.106,424.159,8
p123,64011.503,644245.812,424.198,8
p124,64014.229,644249.367,424.179,8
p125,64011.382,644250.009,424.045,8
p126,64012.527,644252.478,423.934,8
p127,64009.484,644254.206,424.041,8
p128,64011.298,644256.546,424.331,8
p129,64008.318,644257.913,424.149,8
p130,64010.723,644260.426,424.253,8
p131,64007.178,644262.071,424.183,8
p132,64004.343,644264.400,424.201,8
p133,63999.741,644270.967,424.486,8
p134,64001.032,644267.743,424.333,8
p135,64002.383,644263.876,424.565,8
p136,64003.148,644261.193,424.423,8
p137,64004.805,644256.124,424.505,8
p138,64005.810,644251.932,424.432,8
p139,64006.855,644247.943,424.386,8
p140,64002.026,644251.309,424.151,8
p141,64000.656,644255.241,424.201,8
p142,63999.241,644259.694,424.846,8
p143,63998.105,644262.809,424.466,8
p144,63997.401,644265.984,424.457,8
p145,63996.552,644271.175,424.320,8
p146,63996.682,644271.245,424.474,8
p147,63997.299,644273.175,424.571,8
p148,63995.400,644275.387,424.605,8
p149,63991.801,644271.663,424.628,8
p150,63634.624,644270.883,606.544,1
p151,63636.811,644268.201,606.454,1
p152,63640.298,644271.810,606.479,1
p153,63643.438,644277.020,606.920,1
p154,63645.787,644276.550,607.022,1
p155,63649.247,644281.107,606.843,1
p156,63648.808,644282.940,606.990,1
p157,63652.776,644285.527,607.669,1
p158,63655.197,644289.344,607.829,1
p159,63656.388,644291.229,607.985,1
p160,63665.432,644292.412,609.530,9
p161,63661.172,644289.850,609.152,9
p162,63656.041,644282.904,608.219,9
p163,63654.073,644276.113,605.998,9
p164,63650.518,644270.443,606.277,9
p165,63647.929,644266.427,606.254,9
